Name,Level,NE_LAT,NE_LNG,SW_LAT,SW_LNG,LAT,LNG
"Bap, jodhpur",VILLAGE,27.3934627,72.3709774,27.358631,72.32720379999999,27.37193,72.3488721
"Bari Dhani, jodhpur",VILLAGE,27.3461286,72.3310662,27.3324047,72.3110676,27.3372133,72.32223309999999
"Bari Seer, jodhpur",VILLAGE,27.58907,72.5021901,27.43619,72.38882,27.5027651,72.4376499
"Gurha, jodhpur",VILLAGE,27.46111,72.5073401,27.43213,72.4484999,27.4440937,72.467236
"Ranjeet Nagar, jodhpur",VILLAGE,26.43146,72.24654,26.38216,72.19328999999999,26.4100342,72.2186128
"Jambheswar Nagar-Ii, jodhpur",VILLAGE,26.3016689,73.08987479999999,26.2982777,73.0851363,26.299687,73.0874221
"Khidrat, jodhpur",VILLAGE,27.61616,72.61995,27.53565,72.47868989999999,27.5733471,72.5441445
"Karninagar, jodhpur",VILLAGE,26.2255692,73.03037599999999,26.2210217,73.02540549999999,26.2244134,73.02677299999999
"Kansingh Ki Seer, jodhpur",VILLAGE,27.56748,72.6592599,27.45409,72.4608899,27.5180523,72.5559746
"Udat, jodhpur",VILLAGE,27.5653899,72.7293633,27.5499431,72.71558759999999,27.557934,72.7230163
"Soda Dhara, jodhpur",VILLAGE,27.5078899,72.66647010000001,27.42564,72.5054299,27.45592,72.6032895
"Shivnagar, jodhpur",VILLAGE,26.0274401,73.4896201,25.9987001,73.46793,26.0121528,73.4798916
"Naya Gaon, jodhpur",VILLAGE,27.4381801,72.4509501,27.38278,72.38481,27.4038723,72.4198967
"Thoriyasar, jodhpur",VILLAGE,27.44663,72.6418,27.41665,72.6011201,27.4297613,72.6210303
"Mayakor, jodhpur",VILLAGE,27.60298,72.87328000000001,27.50677,72.76534,27.5512925,72.81609759999999
"Meethadiya, jodhpur",VILLAGE,27.52725,72.8212799,27.4581001,72.74905,27.4800367,72.79246119999999
"Sri Rampura, jodhpur",VILLAGE,27.4408,72.6011201,27.3811701,72.51944999999999,27.4108085,72.5618894
"Luna, jodhpur",VILLAGE,27.49759,72.7896999,27.4275,72.6633901,27.448274,72.7215385
"Ganesh Nagar, jodhpur",VILLAGE,26.1959259,72.99998210000001,26.1938177,72.9972839,26.1949086,72.9984633
"Bajrang Nagar, jodhpur",VILLAGE,27.42564,72.6257201,27.38921,72.58020990000001,27.4039857,72.59737559999999
"Mandor ( Dara Ka Bas), jodhpur",VILLAGE,26.2872186,73.0170135,26.2864366,73.01549469999999,26.2869075,73.0163848
"Shree Surpura, jodhpur",VILLAGE,27.41467,72.5344801,27.3779701,72.48783,27.3933548,72.514567
"Degawari, jodhpur",VILLAGE,27.36151,72.49569,27.2775801,72.4302501,27.3288764,72.45540199999999
"Reen, jodhpur",VILLAGE,27.33471,72.43749,27.22603,72.39703999999999,27.2674328,72.4198967
"Kalrawa Bera, jodhpur",VILLAGE,27.4061799,72.5960001,27.36418,72.51777,27.3895805,72.5737187
"Meharam Nagar, jodhpur",VILLAGE,26.26231,72.79417000000001,26.2290599,72.75797,26.2413065,72.7865518
"Saranpura, jodhpur",VILLAGE,27.3829099,72.5283401,27.3501701,72.48564,27.3690894,72.502735
"Baghaura, jodhpur",VILLAGE,27.29906,72.32571999999999,27.26838,72.29642009999999,27.2845237,72.31039270000001
"Shivnath Nagar, jodhpur",VILLAGE,26.2686157,72.9683656,26.266732,72.96651120000001,26.2673066,72.9670945
"Sultan Nagar, jodhpur",VILLAGE,26.303782,73.0710196,26.3022377,73.0686233,26.3030301,73.0698251
"Sonanda, jodhpur",VILLAGE,27.33549,72.3031201,27.26849,72.2426799,27.3058622,72.27782909999999
"Kheerwa, jodhpur",VILLAGE,27.2967021,72.32771869999999,27.2853621,72.3138142,27.2901326,72.32075309999999
"Bhakhariya, jodhpur",VILLAGE,27.2622901,72.2574801,27.2000299,72.1869401,27.2299452,72.2186128
"Shekhasar, jodhpur",VILLAGE,27.2921228,72.2195599,27.284197,72.2109689,27.287612,72.2141711
"Sanguri, jodhpur",VILLAGE,27.2963589,72.190218,27.2871294,72.1767426,27.2922599,72.18455780000001
"Rayra, jodhpur",VILLAGE,27.1317199,72.13314,27.0609901,72.0275001,27.0896578,72.0586677
"Tanot Basti, jodhpur",VILLAGE,27.2931171,72.16670049999999,27.2798063,72.1575165,27.2867032,72.1638268
"Moti Nagar, jodhpur",VILLAGE,26.3144255,73.10878149999999,26.3116099,73.107174,26.3129984,73.1080364
"Sihra, jodhpur",VILLAGE,27.2032,72.1226701,27.09858,72.0319899,27.1480438,72.07051849999999
"Shivpura, jodhpur",VILLAGE,27.0845001,72.09885,27.0373401,72.02309989999999,27.0604401,72.0845432
"Bhoja Nagar, jodhpur",VILLAGE,27.2544999,72.3412601,27.22334,72.28846,27.2390469,72.31039270000001
